input_es,input_en,icd10pcs_code,icd10pcs_term
HERNIORRAFIA INGUINAL DERECHA + UMBILICAL,RIGHT INGUINAL + UMBILICAL HERNIORRHAPHY,,
HERNIORRAFIA EPIGASTRICA Y HERNIA UMBILICAL,EPIGASTRIC HERNIORRHAPHY AND UMBILICAL HERNIA,,
"TRANSFERENCIAS MIOTENDINOSA, RESECCION HUESO PARCIAL","MYOTENDINUS TRANSFERS, PARTIAL BONE RESECTION",,
CORRECCION LABIO FISURADO .,CLOSED LIP CORRECTION.,A4605,Trach suction cath close sys
FRENILLECTOMIA LINGUIAL,LINGUIAL FRENILLECTOMY,,
INFUSION DE QUIMIOTERAPIA INYTRA ARTERIAL.,ARTERIAL INYTRA CHEMOTHERAPY INFUSION.,,
CUADRANTECTOMIA EN LA MAMA IZQUIERDA,QUADRANTECTOMY IN THE LEFT BREAST,,
RMN CEREBRO MEDIO DE CONTRASTE,BRAIN MRI CONTRAST MEDIA,,
FULGRACION DE LESIONES ANALES,FULGRATION OF ANAL INJURIES,,
TAC TRIDIMENSIONAL DE CRÁNEO .,THREE-DIMENSIONAL SKULL CT.,,
CIRUGIA DE MOHS MAS RECONSTRUCCION,MOHS SURGERY PLUS RECONSTRUCTION,,
RESECCION DE POLIPO ENDOMETRIAL POR HISTEROSCOPIA,ENDOMETRIAL POLYP RESECTION BY HYSTEROSCOPY,,
EXTRACCION MOS FEMUR DEREHCO,RIGHT FEMUR MOS EXTRACTION,,
SUTURA DE MANGUITO ROTADOR VIA ENDOSCOPICA,ROTATOR CUFF SUTURE ENDOSCOPICLY,,
"TENOSINOVECTOMIA, OSTEOTOMIA HUMERO","TENOSINOVECTOMY, HUMEROUS OSTEOTOMY",,
EXLORACIÓN ANAL - FISTULOTOMIA VS COLGAJO.,ANAL EXLORATION - FISTULOTOMY VS FLAP.,,
RESECCIÓN DE CRESTAS CUTANEAS.,RESECTION OF SKIN RIDGE.,,
REPARACION O SUTURA DE IRIDODIALISIS,REPAIR OR SUTURE OF IRIDODIALYSIS,,
RETIRO CATETER DOBLE J,DOUBLE J CATHETER REMOVAL,,
TRASPLANTE DE CORNEA,CORNEAL TRANSPLANTATION,V2785,Corneal tissue processing
"RESECCION DE CUADRANTE DE MAMA, VACIAMIENTO,  COLGAJO LOCAL","BREAST QUADRANT RESECTION, EMPTYING, LOCAL FLAP",,
COLECISTECTOMIA VIA LAPAROSCOPICA,LAPAROSCOPIC CHOLECYSTECTOMY,S2079,Lap esophagomyotomy
RESECCION DE TUMOR EN LABIO Y COLGAJO,LIP AND FLAP TUMOR RESECTION,,
HAT+ RESECCION COLON LAPAROSCOPICA,HAT+ LAPAROSCOPIC COLON RESECTION,,
"IQ: DIVISION DE CAPSULA LIGAMENTO O CARTILAGO ARTICULAR DE TOBILLO POR ARTROSCOPIA, SINOVECTOMIA DE TOBILLO ANTERIOR VIA","IQ: DIVISION OF ANKLE JOINT LIGAMENT CAPSULE OR CARTILAGE BY ARTHROSCOPY, ANTERIOR ANKLE SYNOVECTOMY VIA",,
REEMPLAZO DE CADERA BILATERAL,BILATERAL HIP REPLACEMENT,L1681,Ho bilateral hip abduction
OSTEOTOMIA CORRECTORA DEL LADO IZQUIERDO.,CORRECTIVE OSTEOTOMY OF THE LEFT SIDE.,,
URETEROLITOTOMIA ENDOCOPICA  LASER,LASER ENDOCOPIC URETEROLITOTOMY,C2629,"Intro/sheath, laser"
RESECCION GANGLION + TENOSINOVECTOMIA FLEXOR MANO,GANGLION RESECTION + HAND FLEXOR TENOSYNOVECTOMY,,
CORREGIR ASIMETRIA MAMARIA,CORRECT BREAST ASYMMETRY,V2787,Astigmatism-correct function
REFUSION DE COLUMNA CON INJERTOS .,SPINE REFUSION WITH GRAFTS.,,
CX RECONSTRUCTIVA MANO DERECHA.,RIGHT HAND RECONSTRUCTIVE CX.,,
BLEFAROPLASTIA DE PÁRPADOS SUPERIORES MÁS CORRECCION,UPPER EYELID BLEPHAROPLASTY PLUS CORRECTION,,
URETEROLITOTOMIA ENDOSCOICA DERECHA,RIGHT ENDOSCOIC URETEROLITOTOMY,C1605,"Pmkr, dual, leadless"
INYECCION INTRAOSEA.,INTRAOSSEAL INJECTION.,A9585,Gadobutrol injection
TIROIDECTOMIA RESIDUAL,RESIDUAL THYROIDECTOMY,E1020,Residual limb support system
FISTULECTOMIA BILATERAL,BILATERAL FISTULECTOMY,L1690,Combination bilateral ho
AMIGDALECTOMIA + FARINGOPLSATIA CON COLGAJO,TONSILLECTOMY + PHARYNGOPLSATY WITH FLAP,,
ARTROSCOPIA RODILLA DERECHA + RECONSTRUCCIÓN LIGAMENTO DERECHA,RIGHT KNEE ARTHROSCOPY + RIGHT LIGAMENT RECONSTRUCTION,,
RA Y OTS TOBILLO IZQ,RA AND OTS LEFT ANKLE,,
CIRUIGA ARTICULAR COMPLEJA DE RODILLA IZQUIERDA,COMPLEX JOINT SURGERY OF THE LEFT KNEE,,
"CISTOSCOPIA, SUSPENSION URETROVESICAL RETROPUBICA","CYSTOSCOPY, RETROPUBIC URETHROVESICAL SUSPENSION",,
EXTRACCION + COLGAJO,EXTRACTION + FLAP,S2066,Breast gap flap reconst
LAPAROTOMIA MAS BIOPSIA POR CONGELACIO,LAPAROTOMY PLUS FREEZE BIOPSY,,
CIRUGIA DE MOSH,MOSH SURGERY,G9643,Elective surgery
ETMOIDECTOMIA SINUSOTOMIA,ETHMOIDECTOMY SINUSOTOMY,,
RESONANCIA CEREBRAL CON SECUENCIA ANGIOGRAFICA.,BRAIN RESONANCE WITH ANGIOGRAPHIC SEQUENCE.,,
DESCOMPRESIÓN ORBITARIA + RECONSTRUCCIÓN ORBITARIA AMBOS OJOS.,ORBITAL DECOMPRESSION + ORBITAL RECONSTRUCTION BOTH EYES.,,
HISTERECTOMIA MAS SALPINGOOFORECTOMIA BILATERAL MAS GANGLIO CENTINELA.,HYSTERECTOMY PLUS SALPINGOOPHORECTOMY BILATERAL PLUS SENTINEL NODE.,,
RECONSTRUCCIÓN LIGAMENTO + MENISCECTOÍA,LIGAMENT RECONSTRUCTION + MENISCECTOY,L1840,Ko derot ant cruciate custom
ARTROSOCPIA DE HOMBRO,SHOULDER ARTHROSOCPIY,L5699,Shoulder harness
VARICECTOMÍA .,VARICECTOMY.,,
RESECCION LESION EN RODILLA.,KNEE INJURY RESECTION.,M1141,Fs no oks
RESECCION DE QUIST RETNACULAR Y SINOVECTOMIA DE FLEXOR LARGO DE PULGAR,RETNACULAR CYST RESECTION AND THUMB FLEXOR LONGUS SYNOVECTOMY,,
CORRECCION DE MALFORMACION DE MEDULA ESPINAL CON MIELOTOMIA POSTERIOR,CORRECTION OF SPINAL CORD MALFORMATION WITH POSTERIOR MYELOTOMY,,
CORRECION DE CIA Y RECONSTRUCCION AORTA TORACICA.,ASD CORRECTION AND THORACIC AORTA RECONSTRUCTION.,,
RECONSTRUCCION PABELLON AURICULAR DERECHO,RIGHT AURIAL PAVILION RECONSTRUCTION,,
"HISTERECTOMIA , SALPINGECTOMIA POR LAPAROSCOPIA","HYSTERECTOMY, SALPINGECTOMY BY LAPAROSCOPY",,
HERNIORRAFIA INGUINAL DER LAPAROSCOPIA,LAPAROSCOPY INGUINAL HERNIORRHAPHY,G0342,Laparoscopy islet cell trans
MASTECTOMIA RADICAL + RECONSTRUCCION,RADICAL MASTECTOMY + RECONSTRUCTION,,
ESCISION HEMORROIDES,HEMORRHOID EXCISION,C1819,Tissue localization-excision
RETIRO CATETER,CATHETER REMOVAL,C7546,Rep nph/urt cath w/dil stric
IQ: DESCOMPRESION DE NERVIO EN TUNEL DEL CARPO VIA ENDOSCOPICA MANO DERECHA,IQ: NERVE DECOMPRESSION IN THE CARPAL TUNNEL VIA ENDOSCOPIC RIGHT HAND,,
RECONSTRUCCIÓN ANAL,ANAL RECONSTRUCTION,L8605,Inj bulking agent anal canal
DESCOMPRESION DE NERVIO DE TUNEL DEL CARPO IZQUIERDO VIA ENDOSCOPICA,LEFT CARpal TUNNEL NERVE DECOMPRESSION VIA ENDOSCOPIC,,
RESECCION DE TUMOR DE,TUMOR RESECTION,G8723,Spec sit not prim tumor
EMBOLIZACION ART UTERINAS,ART UTERINE EMBOLIZATION,G9962,Embolization doc separatly
MASTECTOMIA IZQUIERDA MAS VACIAMIENTO GANGLIONAR MAS COLGAJO,LEFT MASTECTOMY PLUS GANGLIONAL CLEARING PLUS FLAP,,
RESONANCIA CEREBRAL Y DE COLUMNA,BRAIN AND SPINE RESONANCE,,
RESONANCIA MAGNEITCA CADERA.,HIP MAGNEITCA RESONANCE.,L5702,Replace socket hip
RESECCION AMPLIA CONGELACION COLGAJO,WIDE RESECTION FLAP FREEZING,,
BLEFAROPLASTIA + CORRECCOIN DE PTOSIS PALPEBRAL,BLEPHAROPLASTY + CORRECCOIN OF EYELID PTOSIS,,
HISTERECTOMIA POR LAPAROCOPIA.,LAPAROCOPY HYSTERECTOMY.,G9774,Pt had hyst
RESECCION DE TUMOR DE OVARIO POR LAPAROTOMIA MAS BIOPSIA POR CONGELACION,OVARIAN TUMOR RESECTION BY LAPAROTOMY PLUS FREEZING BIOPSY,,
HISTERECTOMIA MAS SALPINGUECTOMIA MAS CISTECTOMIA DE OVARIO DERECHO.,HYSTERECTOMY PLUS SALPINGECTOMY PLUS CYSTECTOMY OF THE RIGHT OVARY.,,
RESECCION MAS COLGAJOS,RESECTION PLUS FLAPS,G9613,Doc post surg anatomy
TENOSINOVECTOMIA DE FLEXOR RADIAL DEL CARPO,CARPI RADIAL FLEXOR TENOSINOVECTOMY,,
RESECCION DE QUISTE Y RECONTRUCCION,CYST RESECTION AND RECONSTRUCTION,,
"IQ: RETROINSERCION DE MUSCULOS RECTOS, RETROINSERCION DE MUSCULOS OBLICUOS, RESECCION DE MUSCULOS RECTOS","IQ: RETROINSERTION OF RECTUS MUSCLES, RETROINSERTION OF OBLIQUE MUSCLES, RESECTION OF RECTUS MUSCLES",,
EXTRACCION DE MATERIAL OTS EN FEMUR,EXTRACTION OF OTS MATERIAL IN FEMUR,,
CONDROPLASTIA MAS MENISCOPLASTIA RODILLA DERECHA POR ARTROSCOPIA,CHONDROPLASTY PLUS MENISCOPLASTY OF THE RIGHT KNEE BY ARTHROSCOPY,,
DRENAJE DE HEMATOMA,HEMATOMA DRAINAGE,C1729,"Cath, drainage"
RESECCION DE CUERPO EXTRAÑO EN ESCAPÚLA DERECHA,FOREIGN BODY RESECTION IN THE RIGHT SCAPULA,,
MASTOIDETMOIA + TIMPANOPLASTIA,MASTOIDETMOIA + TYMPANOPLASTY,,
RESECCION NAVICULAR ACCESORIO DERECHO,NAVICULAR RESECTION RIGHT ACCESSORY,,
RM CEREBRAL Y BASE DE CRANEO.,BRAIN AND SKULL BASE MRI.,,
HISTERECTOMIA RADICAL MAS SALPINGUECTOMIA BILATERAL - OOFOROPEIA POR LAPAROTOMIA,RADICAL HYSTERECTOMY PLUS BILATERAL SALPINGECTOMY - OOPHOROPEIA BY LAPAROTOMY,,
"STEOTOMIA ANTERIORIZADORA DE LA PATELA Y CONDROPLASTIA CON MICROPERFORACIONES,","ANTERIORIZING STEOTOMY OF THE PATELLA AND CHONDROPLASTY WITH MICROPERFORATIONS,",,
TURBINOOPLASTIA BILATERAL,BILATERAL TURBINOPLASTY,L1690,Combination bilateral ho
CORRECCION DE DEFECTO OSEO EN CRANEO CON INJERTO AUTOLOGO,CORRECTION OF BONE DEFECT IN SKULL WITH AUTOLOGOUS GRAFT,,
ARTRODESIS INTERFALANGICA MANO,HAND INTERPHALANGIC ARTHRODESIS,E2321,Hand interface joystick
DONANTE TRASPLANTE RENAL INTRAFAMILIAR,IN-FAMILY KIDNEY TRANSPLANT DONOR,,
INFILTRACION INTRAARTICULAR,INTRAARTICULAR INFILTRATION,C9465,"Injection, durolane"
LEGRADO/ INSERSION DE DIU,CURETURE/INSERTION OF IUD,,
HAT LAPAROSCOPICA,LAPAROSCOPIC HAT,S2079,Lap esophagomyotomy
RESECCION MASA MEJILLA IZQUIERDA,LEFT CHEEK MASS RESECTION,,
INYECCION DERMOGRASA EN MAMA IZQUIERDA,DERMOFASE INJECTION IN LEFT BREAST,,
COLECTOMIA TOTAL,TOTAL COLECTOMY,G9711,Pt hx tot col or colon ca
IQ: HERNIORRAFIA BILATERAL INGUINAL ENCARCELADA VIA LAPAROSCOPICA,IQ: BILATERAL INGUINAL HERNIORRHAPHY INCARCERED VIA LAPAROSCOPIC,,
RMN CADERA Y CEREBRAL,HIP AND BRAIN MRI,,
NEFROLITOTOMIA PERCUTANEA DER,PERCUTANEOUS RIGHT NEPHROLITHOTOMY,A5200,Percutaneous catheter anchor
HEMOTIROIDECTOMIA DERECHA MAS BIOPSIA POR CONGELACION,RIGHT HEMOTHYROIDECTOMY PLUS FREEZING BIOPSY,,
RETIRO DE CATETER IMPLANTABLE / RNM CEREBRAL,REMOVAL OF IMPLANTABLE CATHETER / BRAIN MRI,,
BIOPSIA MEDIASTINAL POR MEDIASTINOSCOPIA,MEDIASTINAL BIOPSY BY MEDIASTINOSCOPY,C9751,"Microwave bronch, 3d, ebus"
"SAFENECTOMIA , VARICECTOMIA","SAFENECTOMY, VARICECTOMY",,
RESECCION TUMOR TIROIDEO,THYROID TUMOR RESECTION,G9553,Prior thyroid dise dx
RESECCION DE TUMOR BENIGNO EN PIE DERECHO,RESECTION OF BENIGN TUMORS IN THE RIGHT FOOT,,
ARTROSCOPIA DE RODILLA DERECHA Y CORRECCIÓN DE HALLUX VALGUS DERECHO.,RIGHT KNEE ARTHROSCOPY AND RIGHT HALLUX VALGUS CORRECTION.,,
REINJERTO,REGRAFT,,
RESONANCIA DE ANTEPIE DERECHO,RIGHT FOREFOOT RESONANCE,C1605,"Pmkr, dual, leadless"
SINOVECTOMIA DE MULÑEC,MULÑEC SYNOVECTOMY,,
HEPATECTOMIA-DONANTE DE ORGANO,HEPATECTOMY-ORGAN DONOR,S2152,Solid organ transpl pkg
IMPLANTACION DE CATETER BPARA QUIMIOTERAPIA.,IMPLANTATION OF CATHETER FOR CHEMOTHERAPY.,,
FACO MAS LIO.,FACO MORE LIO.,,
BACAF DE ADENOPATIA,BACAF OF ADENOPATHY,,
RETIRO DE MATERIAL DE OSTEOSINTESIS DE CLAVICULA IZQUIERDA,REMOVAL OF LEFT CLAVICLE OSTEOSYNTHESIS MATERIAL,,
VALORACION DE LA VIA AEREA,EVALUATION OF THE AIRWAY,G8930,Assess of dep @ initial eval
MAMOPLASTIA AUMENTO,MAMMOPLASTY ENLARGEMENT,G8876,Doc reas no min inv dx
"ENUCLEACION CON INJERTO OJO IZQUIERDO, PLASTIA DE ORBITA CON RECONSTRUCCION DE FONDOS DE SACO","ENUCLEATION WITH LEFT EYE GRAFT, ORBIT PLASTY WITH RECONSTRUCTION OF THE FORMS OF THE SAC",,
RESONANCIA DE SILLA TURCA,TURKISH SELLA RESONANCE,,
RESECCION DE MASAS EN AMBOS PARPADOS,RESECTION OF MASSES IN BOTH EYELIDS,,
EPIFISIODESIS DEL RADIO DISTAL,EPYPHYSIODESIS OF THE DISTAL RADIUS,,
FIBRONASOLARINGOSCOPIA.,FIBRONASOLARYNGOSCOPY.,,
ESTAPEDOTOMIA.,STAPEDOTOMY.,,
AMIGDALECTOMIA RESECCION POLIPOSIS EN FOSA NASAL,TONSILLECTOMY RESECTION POLYPOSIS IN NASAL FOSA,,
BIOPSIA AMIGDALA,TONSIL BIOPSY,G8709,Uri ep compete diag
RT HOMBRO DERECHO,RT RIGHT SHOULDER,E0739,Rehab sys active assist rt
HISTERECTOMIA ABDOMINAL MAS SALPINGECTOMIA BILATERAL POR LAPAROSCOPIA,ABDOMINAL HYSTERECTOMY PLUS BILATERAL SALPINGECTOMY BY LAPAROSCOPY,,
TRANSPLANTE MENISCAL EXTERNO,EXTERNAL MENISCAL TRANSPLANTATION,A4326,Male external catheter
PIELOPLASTIA ENDOCOSPICA,ENDOCOSPIC PYELOPLASTY,,
HISTERECTOMIA Y SALPINGUECTOMIA POR LAPAROSCOPIA,HYSTERECTOMY AND SALPINGECTOMY BY LAPAROSCOPY,,
CUADRANTECTOMIA + CLGAJO + VACIAMIENTO LINFÁTICO AXILAR,QUADRANTECTOMY + CLIP + AXILLARY LYMPHATIC EMPTYING,,
CIRUGIA DE ESCOLIOSIS,SCOLIOSIS SURGERY,G9945,Pt w/cancer scoliosis
LOBECTOMIA POR TORACOSCOPIA.,LOBECTOMY BY THORACOSCOPY.,S2061,Donor lobectomy (lung)
"RESECCION DE QUISTE PILONIDAL CON COLGAJO, FISTULECTOMIA ANAL","RESECTION OF PILONIDAL CYST WITH FLAP, ANAL FISTULECTOMY",,
ARTROPLASTIA ACROMIOCLAVICULAR Y REPARACION DE MANGIUITO ROTADOR DERECHO,ACROMIOCLAVICULAR ARTHROPLASTY AND REPAIR OF THE RIGHT ROTATOR CUFF,,
BIOPSIA DE GANGIO CERVICAL,CERVICAL GANGIUM BIOPSY,C7503,Open exc cerv node(s) w/ id
CISTECTOMIA DE OVARIO POR LAPAROSCOPIA MAS LIBERACION O LISIS DE ADHERENCIAS,OVARIAN CYSTECTOMY BY LAPAROSCOPY PLUS RELEASE OR LYSIS OF ADHESIONS,,
DONANTE TRASPLANTE RENAL,KIDNEY TRANSPLANT DONOR,G9748,App transpl lvg kidney donor
RMN ABDOMEN .,ABDOMEN MRI.,A4358,Urinary leg or abdomen bag
TIROIDECTOMIA TOTAL Y VACIAMEINTO GANGLIONAR,TOTAL THYROIDECTOMY AND GANGLION EMPTYING,,
PROTOCOLO DE OVARIO POR LAPARATOMIA,OVARIAN PROTOCOL FOR LAPARATOMY,,
RETIRO MATERIAL DE OSTEOSINTESIS  MAS SECUESTRECTOMIA MAS INJERTO OSEO,OSTEOSYNTHESIS MATERIAL REMOVAL PLUS SEQUESTRECTOMY PLUS BONE GRAFT,,
OSTEOTOMIA MANDIBULAR Y EXODONCIA,MANDIBULAR OSTEOTOMY AND EXODONTICS,,
HERNIORRAFIA INGUNAL LAPAROSCOPICA,LAPAROSCOPIC INGUNAL HERNIORRHAPHY,S2079,Lap esophagomyotomy
HISTERECTOMIA MAS COLOCACION CINTILLA,HYSTERECTOMY PLUS TAPE PLACEMENT,,
DCR ENDOSCOPICA O.IZQDO.,LEFT ENDOSCOPIC DCR,G8395,Lvef>=40% doc normal or mild
CUADRANTECTOMIA MAS VACIAMIENTO AXILAR,QUADRANTECTOMY PLUS AXILLARY CLEARING,,
HISTERECTOMIA MAS SALPINGUECTOMIA,HYSTERECTOMY PLUS SALPINGECTOMY,G9774,Pt had hyst
MASTOIDECTOMIA + TIMPANOPLASTIA + RECONSTRUCCION DE CADENA OSICULAR .,MASTOIDECTOMY + TYMPANOPLASTY + OSSICULAR CHAIN ​​RECONSTRUCTION.,,
ENDOSCOPIA Y COLONOSOCPIA,ENDOSCOPY AND COLONOSOCPY,C9771,Nsl/sins cryo post nasal tis
RTU DE TUMOR VESICAL.,TUR OF BLADDER TUMOR.,,
"TRANSFERENCIAS MIOTENDINOSAS DE HOMBRO, CAPSULORRAFIA DE HOMBRO POR ARTROSCOPIA","SHOULDER MYOTENDINE TRANSFERS, SHOULDER CAPSULORRHAPHY BY ARTHROSCOPY",,
CUADRANTECTOMIA DER + COLGAJO,RIGHT QUADRANTECTOMY + FLAP,C1605,"Pmkr, dual, leadless"
MASTROIDECTOMIA + EPITIMPANECTOMIA LADO IZQUIERDO,MASTROIDECTOMY + EPITIMPANECTOMY LEFT SIDE,,
"RMN DE SILLA TURCA, O BASE DE CRANEO, RETIRO DE MATERIAL IMPLANTADO EN HUMERO","MRI OF SELLA TURCICA, OR SKULL BASE, REMOVAL OF MATERIAL IMPLANTED IN THE HUMEROUS",,
RESECCION DE MONOSEGMENTO HEPATICO,LIVER MONOSEGMENT RESECTION,S2053,Transplantation of small int
HEMICOLECTOMIA POR LAPRASCOPIA,HEMICOLECTOMY BY LAPRASCOPY,G9613,Doc post surg anatomy
COLOCACION VIA ANTEROGRADA DE CATETER JJ,PLACEMENT VIA ANTEROGRADE JJ CATHETER,,
CORRECCION HALLUX VALGUS IZQUIERDO,LEFT HALLUX VALGUS CORRECTION,,
DESCOMPRESION T DEL CARPO  DER,T DECOMPRESSION OF THE RIGHT CARPUS,,
AMIGDALECTOMIA + SEPTOTURBINOPLASTIA,TONSILLECTOMY + SEPTOTURBINOPLASTY,,
TURBINOPLASTIA VIA TRANASAL,TRANSASAL TURBINOPLASTY,,
"EVENTRORRAFIA CON MALLA, RECONSTRUCCION DE PARED ABDOMINAL","EVENTHRORPHY WITH MESH, ABDOMINAL WALL RECONSTRUCTION",,
HERNIORRAFIA UMBILICAL REPRODUCIDA VIA ABIERTA,UMBILICAL HERNIORRHAPHY REPRODUCED VIA OPEN APPROACH,,
CX OFTALMOL: RESECCION MASAS PARPADOS,CX OFTHALMOL: RESECTION OF EYELID MASSES,,
URORESONANCIA,URORESONANCE,,
REVISION DE CICATRIZPIEL DE LABIO SUPERIOR,UPPER LIP SKIN SCAR REVIEW,,
CIRUGIA ORTOPEDIA MEDIANA COMPLEJIDAD,MEDIUM COMPLEXITY ORTHOPEDIC SURGERY,,
HERNIORRAFIA UMBILICAL Y EPIGASTRICA,UMBILICAL AND EPIGASTRIC HERNIORRHAPHY,,
ARTROSCOPIA MUÑECA IZQUIERDA,LEFT WRIST ARTHROSCOPY,G8395,Lvef>=40% doc normal or mild
SINOVECTOMIA DE RODILLA LAS LIBERACION ADHERENCUAS POR ARTROSCOPIA.,KNEE SYNOVECTOMY ADHERENCUAL RELEASE BY ARTHROSCOPY.,,
RECAMBIO DESFI-RESINCRONIZADOR,REPLACEMENT DEFI-RESYNCHRONIZER,A4281,Replacement breastpump tube
RESECCION CUERPO EXTRAÑO TENDON,TENDON FOREIGN BODY RESECTION,,
RESECCION DE ADENOPATIAS AXILARES IZQUIERDAS,RESECTION OF LEFT AXILLARY DENOPATHIES,,
RESECCIÓN QUISTE DE OVARIO POR LAPAROTOMIA,OVARIAN CYST RESECTION BY LAPAROTOMY,,
ARTROSCOPIA HOMBRO DERECHO Y REPARO,RIGHT SHOULDER ARTHROSCOPY AND REPAIR,,
TIMPANOPLASTIA Y MASTOIDECTOMIA,TYMPANOPLASTY AND MASTOIDECTOMY,,
TIMPANOPLASTIA Y REVISION DE CADENA OSICULAR OD,TYMPANOPLASTY AND REVISION OF THE OSICULAR CHAIN ​​OD,,
RETIRO MATERIAL DE OSTEOSINTESIS RADIO Y CUBITO.,RADIO AND CUBA OSTEOSYNTHESIS MATERIAL REMOVAL.,,
ARTERIOGRAFIA DE CAROTIDA BILATERAL MAS OCLUSION DE VASOS DE CABEZA Y CUELLO,BILATERAL CAROTID ARTERIOGRAPHY PLUS OCCLUSION OF HEAD AND NECK VESSELS,,
DESCOMPRESION ENDOSCOPICA DE TUNEL DEL CARPO IZQ MAS TENOSINOVECTOMIA DE FLEXORES DEDO ANULAR MANO IZQ,ENDOSCOPIC DECOMPRESSION OF THE LEFT CARPAL TUNNEL PLUS FLEXOR TENOSINOVECTOMY OF THE RING FINGER OF THE LEFT HAND,,
"CIRCUNSICION , PLASTIA FRENILLO","CIRCUMSITION, FRENUM PLASTY",,
EVDA MAS BIOPSIAS,EVDA MORE BIOPSIES,,
HERNIORRAFIA INGUINAL IAQDA,IAQDA INGUINAL HERNIORRHAPHY,,
RESECCION LESION EN GLUTEO,RESECTION OF GLUTEUS INJURY,G9629,Med rsn no rpt bowel inj
"INJERTOS D EPIEL TOTAL EN DORSO DEDO MEDIO, ANULAR Y MEÑIQUE MANO DERECHA","TOTAL SKIN GRAFTS ON THE BACK OF THE MIDDLE FINGER, RING AND LITTLE FINGER OF THE RIGHT HAND",,
LAPAROSCOPIA PARA MANEJO DE ENDOMETRIOSIS Y POMEROY,LAPAROSCOPY FOR MANAGEMENT OF ENDOMETRIOSIS AND POMEROY,,
ARTROSCOPIA QX RODILLA IZQ,QX ARTHROSCOPY LEFT KNEE,,
RETIRO DE DIU Y BX ENDOMETRIO POR HISTEROSCOPIA,REMOVAL OF IUD AND BX ENDOMETRIUM BY HYSTEROSCOPY,,
RECONSTRUCCIÓN DEL LIGAMENTO CRUZADO POSTERIOR CON ISQUIOTIBIALES Y FIJACIÓN CORTICAL MÁS TORNILLO DISTAL,RECONSTRUCTION OF THE POSTERIOR CRUCIATED LIGAMENT WITH ISCHIOTIBIALS AND CORTICAL FIXATION PLUS DISTAL SCREW,,
EXODONCIA QUIRURGICA UNIRADICULAR,UNIRADICULAR SURGICAL EXODONCY,,
RESECICÓN DE BORDE ANAL.,ANAL EDGE RESECTION.,L8605,Inj bulking agent anal canal
LAPAROSCOPIA-LIBERACION ENDOMETRIOSIS,LAPAROSCOPY-ENDOMETRIOSIS RELEASE,G0342,Laparoscopy islet cell trans
REMODELACION DE MUÑON DEDO PIE IZQUIERDO,LEFT TOE STUMMP REMODELING,,
RESECCION QUISTE RODILLA IZQ,LEFT KNEE CYST RESECTION,,
REMODELAICON OSEA DE LA ZONA Y REMPLAZO DE CADERA,BONE REMODELAICON OF THE AREA AND HIP REPLACEMENT,,
RESECICON LESION MAMA DERECHA,RIGHT BREAST INJURY RESECTION,,
RETIRO DE TUTOR Y COLOCACION DE PLACAS MID,REMOVAL OF GUARD AND PLACEMENT OF MID PLATES,,
MASTOIDECTOMIA + TIMPANOPLSTIA,MASTOIDECTOMY + TYMPANOPLSTY,,
RMN TORAX-CUELLO Y CABEZA,THORAX-NECK AND HEAD MRI,,
"RETIRO DE IMPLANTES , CAPSULECTOMIA, CAMBIO DE IMPLANTES","IMPLANT REMOVAL, CAPSULECTOMY, IMPLANT EXCHANGE",,
FIJACION,FIXATION,S2115,Periacetabular osteotomy
LENTE INTROCULAR BILATERAL,BILATERAL INTROCULAR LENS,L1690,Combination bilateral ho
CIRUGIA RECONSTRUCTIVA DE TIBIA IZQUIERDA,LEFT TIBIA RECONSTRUCTIVE SURGERY,,
ARTROSCOPIA CON SUTURA Y REMOELACION DE MENISCO,ARTHRSCOPY WITH SUTURE AND MENISCUS REMOELATION,,
COLANGIOGRAFIA ENDOSCOPICA RETROGRADA,RETROGRADE ENDOSCOPIC CHOLANGIOGRAPHY,C7543,"Ercp w/otomy, pancreatoscopy"
"CIRCUNCISION SOD, PLASTIA DE FRENILLO PENEAL","SOD CIRCUMCISION, PENEAL FRENUM PLASTY",,
PAROTIDECTOMIA Y RESECCION FISTULA,PAROTIDECTOMY AND FISTULA RESECTION,,
CIRUGIA DE TOBILLO,ANKLE SURGERY,E1816,Sps/pass ankle device
HERNIORAFIA,HERNIORPHY,,
REEMPLAZO TOTAL RODILLA IZDA,TOTAL REPLACEMENT OF LEFT KNEE,,
TRAQUEOSTOMIA PERCUTANEA,PERCUTANEOUS TRACHEOSTOMY,A5200,Percutaneous catheter anchor
TRASFERENCIA TENDON,TENDON TRANSFER,C9356,"Tenoglide tendon prot, cm2"
RETIRO DE MATERIAL DE OTS RODILLA IZQUIERDA,REMOVAL OF LEFT KNEE OTS MATERIAL,,
CIRUGIA DE DEDO,FINGER SURGERY,E1832,Sps finger device
TENOSINOVECTOMIA DE FLEXORES DEDO PULGAR MANO IZQ,LEFT HAND THUMB FLEXOR TENOSINOVECTOMY,,
RESONANCIA DE CEREBRO.,BRAIN RESONANCE.,S8040,Topographic brain mapping
PROSTATECOTMIA RADICAL POR LAPAROSCOPIA + LINFADENECTOMIA PELVICO,RADICAL PROSTATECOTMY BY LAPAROSCOPY + PELVIC LYMPHADENECTOMY,,
