input_es,input_en,icd11_code,icd11_title,icd11_uri,icd10cm_code,icd10cm_term
MOLUSCO CONTAGIOSOEN ROSTRO,CONTAGIOUS MOLLUSC ON FACE,,,,,
MASA EN OVARIO IZQUIERDO,MASS IN LEFT OVARY,,,,,
ARTROSIS TRAPECIO METACARPIANA DE MANO DERECHA,TRAPECIOUS METACARPAL ARTHROSIS OF THE RIGHT HAND,,,,,
HIRTROFIA DE ADNOIDES Y CORNETES,HYTROPHY OF ADNOIDS AND CORNETS,,,,,
FX DE CLAVICULA,CLAVICLE FX,,,,C41.3,"Malignant neoplasm of ribs, sternum and clavicle"
FRACTURA PATOLOGICA CADERA DERECHA,PATHOLOGICAL RIGHT HIP FRACTURE,,,,M24.351,"Pathological dislocation of right hip, not elsewhere classified"
SECUELAS DE TRAUMA MIEMBRO DERECHO INFERIOR,SEQUELUES ​​OF TRAUMA OF THE LOWER RIGHT LIMB,,,,,
ADENOCARCINOMA DE COLON.,ADENOCARCINOMA OF THE COLON.,,,,N80.521,Superficial endometriosis of the sigmoid colon
EPILEPSIA ESTRUCTUTAL,STRUCTUTAL EPILEPSY,,,,G40.803,"Other epilepsy, intractable, with status epilepticus"
SECUELAS DE FRACTURA ABIERTA  PIERNA IZQUIERDA,AFTERMATH OF LEFT LEG OPEN FRACTURE,,,,,
GANGLIÓN DORSAL MUÑLECA DEERECHA,DORSAL GANGLION RIGHT WRIST,,,,M67.431,"Ganglion, right wrist"
FRACTURA COMPLEJA DE FÉMUR IZQUIERDO,COMPLEX FRACTURE OF LEFT FEMUR,,,,,
RETIRO MATERIAL DE OSTEOSINTESIS DE FEMUR Y TIBIA DERECHA.,OSTEOSYNTHESIS MATERIAL REMOVAL FROM THE RIGHT FEMUR AND TIBIA.,,,,,
CRIPTORQUIDIA + HERNIA UMBILICAL,CRYPTORCHIDIA + UMBILICAL HERNIA,,,,K42.1,Umbilical hernia with gangrene
PROLAPSO GRADO 3-4 DE VEJIGA Y RECTO,PROLAPSE GRADE 3-4 OF THE BLADDER AND RECTUM,,,,,
DONANTE RENAL.,KIDNEY DONOR.,,,,Z52.4,Kidney donor
MEGACOLON,MEGACOLON,,,,K59.31,Toxic megacolon
SECUELAS DE FRACTURA DE MI,AFTERMATH OF MI FRACTURE,,,,M48.40XS,"Fatigue fracture of vertebra, site unspecified, sequela of fracture"
LEI ALTO GRADO,I READ HIGH GRADE,,,,,
URETEROLITIASIS.,URETEROLITIASIS.,,,,,
SECUELAS LUXOFX PIE IZDO,LUXOFX AFTERMATH LEFT FOOT,,,,,
QUISTE MENISCO,MENISCUS CYST,,,,M23.006,"Cystic meniscus, unspecified meniscus, right knee"
DESVIACIÓN SEPTO NASAL,NASAL SEPTO DEVIATION,,,,R09.81,Nasal congestion
DESVIACION SEPTAÑ-HIPERTROFIA CORNETES,SEPTAL DEVIATION-TURBAN HYPERTROPHY,,,,,
TUMOR DE CÉLULAS GIGANTES,GIANT CELL TUMOR,,,,M27.1,"Giant cell granuloma, central"
TUMOR BENIGNO EN MAMA IZQUIERDO,BENIGN TUMOR IN LEFT BREAST,,,,,
TUMOR DE UTERO,UTERUS TUMOR,,,,Q51.3,Bicornate uterus
SINOVITIS CALCIFICADA DE MUÑECA,CALCIFICATED SYNOVITIS OF WRIST,,,,,
EDEMA DE REINKE.,REINKE'S EDEMA.,,,,,
HENRIA INGUINAL BILATERAL Y EPIGÁSTRICA,BILATERAL AND EPIGASTRIC INGUINAL HENRIA,,,,,
PINZAMIENTO CUBITOCARPIANO MUÑECA IZQUIERDA,CUBITOCARPAL IMPLEMENTATION OF LEFT WRIST,,,,,
FRACTURA DIAFISARIA FÉMUR IZQUIERDO NO CONSOLIDADA,UNCONSOLIDATED LEFT FEMUR DIAPHYSEAL FRACTURE,,,,,
LESION LIGAMENTARIA DE MUÑECA,WRIST LIGAMENTARY INJURY,,,,S67.30XS,"Crushing injury of unspecified wrist, sequela"
DOLOR EN CADERA IZQ,LEFT HIP PAIN,,,,M25.552,Pain in left hip
HIPERHIDROSIS MMSS,MMSS HYPERHYDROSIS,,,,,
DIASTASIS DE LOS RECTOS,DIASTASIS OF THE RECTUS,,,,,
DOLOR COLUMNA TORAXICA,THORAXIC SPINE PAIN,,,,M54.6,Pain in thoracic spine
"CRIPTORQUIDA , FMOSIS","CRYPTORCHIDA, PHMOSIS",,,,,
GANGLION DORSO DE MANO,BACK GANGLION OF HAND,,,,T23.661S,"Corrosion of second degree back of right hand, sequela"
FX DE RADIO Y CUBITO IZQ,RADIO FX AND LEFT CUBE,,,,,
LUXACION HOMBRO DER,RIGHT SHOULDER DISLOCATION,,,,M24.411,"Recurrent dislocation, right shoulder"
RETREASO DESARROLLO PSICOMOTOR,PSYCHOMOTOR DEVELOPMENT RETREAT,,,,R41.843,Psychomotor deficit
"LESION DE LCA , MENISCO RODILLA DERECHA","ACL INJURY, RIGHT KNEE MENISCUS",,,,,
ABSCESO PERIANAL,PERIANAL ABSCESS,,,,K64.5,Perianal venous thrombosis
POP FX EXPUESTA M INF,POP FX EXPOSED M INF,,,,,
CA MAMA SENO IZQWUIERDO,CA MOM LEFT BREAST,,,,,
TRAUMA MI IZQ,TRAUMA MY LEFT,,,,M87.212,"Osteonecrosis due to previous trauma, left shoulder"
SND TUNEL DEL CARPO,SND CARPAL TUNNEL,,,,G56.00,"Carpal tunnel syndrome, unspecified upper limb"
"SECUELAS DE LUXACION, TORCEDURA Y ESGUINCE DE MIEMBRO INFERIOR","Sequelae of dislocation, sprain and sprain of the lower limb",,,,,
ARTROSCOPIA DE HOMBRO IZQ,LEFT SHOULDER ARTHRSCOPY,,,,M75.82,"Other shoulder lesions, left shoulder"
CIERRE COLOSTOMIA,COLOSTOMY CLOSURE,,,,K94.01,Colostomy hemorrhage
INESTABILIDAD DE TOBILLO,ANKLE INSTABILITY,,,,M25.371,"Other instability, right ankle"
LESION LCA IZQ,LEFT ACL INJURY,,,,S35.512S,"Injury of left iliac artery, sequela"
HIUPERHIDROSIS PALMAR .,PALMAR HYUPERHYDROSIS.,,,,M72.0,Palmar fascial fibromatosis [Dupuytren]
ARRITMIA EN ESTUDIO,ARRHYTHMIA IN STUDY,,,,I49.9,"Cardiac arrhythmia, unspecified"
CARCINOMA NASOFARÍNGEO,NASOPHARYNGEAL CARCINOMA,,,,A36.1,Nasopharyngeal diphtheria
LESION MENISCO RODILLA,KNEE MENISCUS INJURY,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
DEFECTO TABIQUE NASAL,NASAL SEPTOM DEFECT,,,,R09.81,Nasal congestion
BLEFAROCHALASIS BILATERAL,BILATERAL BLEPHAROCHALASIS,,,,H10.813,"Pingueculitis, bilateral"
LESION MAMAS BILATERAL,BILATERAL BREAST INJURY,,,,N61.23,"Granulomatous mastitis, bilateral breast"
HALLUX BILATERAL,BILATERAL HALLUX,,,,H10.813,"Pingueculitis, bilateral"
PECTUS ESCAVADO,ESCAVADO PECTUS,,,,Q67.6,Pectus excavatum
LEISON MENISCO RODILL IZQ,LEISON MENISCUS KNEE LEFT,,,,M23.007,"Cystic meniscus, unspecified meniscus, left knee"
LESION MENISCO ROIDLLA IZQ,LEFT ROID MENISCUS INJURY,,,,S83.204S,"Other tear of unspecified meniscus, current injury, left knee, sequela"
LIPOMA  HOMBRO DERECHO,RIGHT SHOULDER LIPOMA,,,,M75.81,"Other shoulder lesions, right shoulder"
COXOARTROSIS,COXOARTHRHISIS,,,,,
"LESIONES PENE , PIE IZQ , MALAR DERECHO","INJURIES PENIS, LEFT FOOT, RIGHT MALAR",,,,,
GANGLIONES DORSALES IZQUIUERDA,LEFT DORSAL GANGLIONS,,,,S95.012S,"Laceration of dorsal artery of left foot, sequela"
LESION LIGAMENTO CRUZADO ANTETERIOR,ANTETERIOR CRUCIATED LIGAMENT INJURY,,,,,
PILOMATRIXOMA HOMBRO IZQ,LEFT SHOULDER PILOMATRIXOMA,,,,M75.82,"Other shoulder lesions, left shoulder"
CONDILOMATOSIS PERIANAL,PERIANAL CONDYLOMATOSIS,,,,K64.5,Perianal venous thrombosis
POP TUMOR BRAZO DERECHO,POP TUMOR RIGHT ARM,,,,,
POLITELIA BILATERAL,BILATERAL POLYTHELY,,,,H10.813,"Pingueculitis, bilateral"
FRACTURA VERTEBRAL L1,L1 VERTEBRAL FRACTURE,,,,S33.110S,"Subluxation of L1/L2 lumbar vertebra, sequela"
TRAUMATISMO DE RAIZ NERVIOSA DE LA COLUM,NERVE ROOT TRAUMA OF THE COLUM,,,,,
LUXACION DE CADERA,HIP DISLOCATION,,,,M24.451,"Recurrent dislocation, right hip"
PARESTESIAS MSI,MSI PARASTHESIAS,,,,,
COLECISTOLITIASIS,CHOLECYSTOLITIASIS,,,,,
POP CX ORTOPEDICA DE ALTA COMPLEJIDAD,POP CX HIGH COMPLEXITY ORTHOPEDIC,,,,,
FRENILEECTOMIA,PHRENYLEECTOMY,,,,,
DERMATOCHALASIS AO,DERMATOCHALASIS AO,,,,H02.831,Dermatochalasis of right upper eyelid
FX TIBIA Y PERONE MII,FX TIBIA AND PERONE MII,,,,,
GRANULOMA .,GRANULOMA.,,,,L92.2,Granuloma faciale [eosinophilic granuloma of skin]
LESION MENISCOS RODILLA DER,RIGHT KNEE MENISCUS INJURY,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
MASA TUMORAL ABDOMINOPELVICA ANEXIAL DER,RIGHT ANNEXAL ABDOMINOPELVIC TUMORAL MASS,,,,,
TUMOR ABDOMINOPELVICO,ABDOMINOPELVIC TUMOR,,,,D48.112,"Desmoid tumor, intrathoracic"
HIPERTROFIA DE CORNETES Y AMIGADALAS,HYPERTROPHY OF CORNETES AND TONSILALS,,,,,
HERNIA FEMORAL DERECHA,RIGHT FEMORAL HERNIA,,,,G57.21,"Lesion of femoral nerve, right lower limb"
HALLUX RIGIDUS DERECHO E II-III,HALLUX RIGIDUS RIGHT E II-III,,,,,
DEFORMIDAD EN HUESOS LARGOS,DEFORMITY IN LONG BONES,,,,,
DEDO EN MARTILLO POSTX PIE IZQ,HAMMER TOE POSTX LEFT FOOT,,,,M20.42,"Other hammer toe(s) (acquired), left foot"
EMABARAZO A TERMINO,TERM PREGNANCY,,,,O48.0,Post-term pregnancy
DEFORMIDAD EN CRÁNEO,SKULL DEFORMITY,,,,Q75.051,Cloverleaf skull
FISURA ANAL FISTULIZADA,FISTULIZED ANAL FISSURE,,,,K60.0,Acute anal fissure
HERNIA UMBILICAL + DIASTASIS DE RECTOS,UMBILICAL HERNIA + DIASTASIS OF RECTUS,,,,,
POP CORRECCION HIPOSPADIA,POP HYPOSPADIA CORRECTION,,,,G57.30,"Lesion of lateral popliteal nerve, unspecified lower limb"
LESION QUISTICA PERICORONAL,PERICORONAL CYSTIC LESION,,,,,
TRAUMA BUCOFACIAL EN ACCIDENTE LABORAL,ORAL-FACIAL TRAUMA IN WORK ACCIDENT,,,,,
GANGLION PALMAR MUÑECA DERECHA,PALMAR GANGLION OF RIGHT WRIST,,,,,
RDSMO Y RDL,RDSMO AND RDL,,,,,
CARCINOMA ESCAMOCELULAR DE CERVIX,SQUAMOCELLULAR CARCINOMA OF THE CERVIX,,,,,
POP OSTEOTOMIA RODILLA DERECHA,POP RIGHT KNEE OSTEOTOMY,,,,,
HIDROCELE + HERNIA INGUINAL,HYDROCELE + INGUINAL HERNIA,,,,K40.11,"Bilateral inguinal hernia, with gangrene, recurrent"
SEUDOARTROSIS DE HUMERO DISTAL DERECHO,Pseudarthrosis of the right distal humerus,,,,,
"MORDIDA CRUZADA , HIPOPLASIA DE MAXILAR SUPERIOR .","CROSS BITE, UPPER MAXILLARY HYPOPLASIA.",,,,,
HUA+ADENOMIOMAS,HUA+ADENOMYOMAS,,,,,
TUMOR BENIGNO DE LA COLUMNA VERTEBRAL,BENIGN TUMOR OF THE VERTEBRAL COLUMN,,,,,
CUERPO EXTRAÑO EN PIE,FOREIGN BODY ON STAND,,,,T15.90XS,"Foreign body on external eye, part unspecified, unspecified eye, sequela"
TUMOR BENIGNO PARPADO SUPERIOR IZQ,BENIGN LEFT UPPER EYELID TUMOR,,,,D23.121,"Other benign neoplasm of skin of left upper eyelid, including canthus"
TRANSORNO DE LA MARCHA,GAIT TRANSFORMATION,,,,R26.0,Ataxic gait
TUMOR BENIGNO DE LA GLANDULA PAROTIDA,BENIGN TUMOR OF THE PAROTID GLAND,,,,,
HPAF CARA,HPAF FACE,,,,L02.02,Furuncle of face
TENOINOVITIS DE QUERVAIN,QUERVAIN'S TENOINOVITIS,,,,M65.4,Radial styloid tenosynovitis [de Quervain]
HIPRETROFIA DE CORNETES,CORNETAL HYPRETROPHY,,,,,
NEUROFIBROMATOSIS .,NEUROFIBROMATOSIS.,,,,Q85.00,"Neurofibromatosis, unspecified"
TUMOR COLON SIGMOIDE EN CONTROL,COLON SIGMOID TUMOR IN CONTROL,,,,,
LESIÓN CONDRAL DE RODILLA,CHONDRAL KNEE INJURY,,,,S87.00XS,"Crushing injury of unspecified knee, sequela"
"EMORRAGIA UTERINA, RESECCION DE CICATRIZ QUELOIDE Y COLGAJO","UTERINE EMORRHAGE, KELOID SCAR RESECTION AND FLAP",,,,,
DEFORMIDAD EN TIBIA DERECHA,DEFORMITY IN RIGHT TIBIA,,,,M84.561S,"Pathological fracture in neoplastic disease, right tibia, sequela"
DOLOR ARTICULAR CADERA IZQ,LEFT HIP JOINT PAIN,,,,M14.652,"Charcot's joint, left hip"
TUNEL CARPIANO DERECHA,RIGHT CARPAL TUNNEL,,,,G56.01,"Carpal tunnel syndrome, right upper limb"
INESTABILIDAD Y ESGUINCE EN RODILLA IZQUIERDA,INSTABILITY AND SPRAIN IN THE LEFT KNEE,,,,,
POLITRAUMATISMO Y FRACTURA MII,POLYTRAUMATISM AND MII FRACTURE,,,,,
FISTULA VESICO VAGINAL,VESICOVAGINAL FISTULA,,,,N82.0,Vesicovaginal fistula
TORTICOLIS CONGENITA + ESCOLIOSIS,CONGENITAL TORTICOLIS + SCOLIOSIS,,,,Q76.3,Congenital scoliosis due to congenital bony malformation
MASA DE ASPECTO QUISTICO EN DORSO DE MUÑECA DERECHA,CYSTIC APPEARING MASS ON BACK OF RIGHT WRIST,,,,,
HERNIAS/HIDROCELE IZDO/,HERNIAS/LEFT HYDROCELE/,,,,,
CALCULO RENAL IZQ,LEFT KIDNEY CALCULATION,,,,D30.02,Benign neoplasm of left kidney
LIPOSARCOMA HOMBRO DERECHO,RIGHT SHOULDER LIPOSARCOMA,,,,M75.81,"Other shoulder lesions, right shoulder"
SD  ADHERENCIAL  Y ENDOMETRIOMA EN OVARIOS,ADHERENTIAL DS AND ENDOMETRIOMA IN OVARIES,,,,,
CA DE ESÓFAGO.,CA OF ESOPHAGUS.,,,,K22.3,Perforation of esophagus
ESTENOSIS VIA LAGRIMAL OI,LE LACRIMAL TRACT STENOSIS,,,,H04.541,Stenosis of right lacrimal canaliculi
CANCER DE MAMA DERECHO,BREAST CANCER RIGHT,,,,S20.111S,"Abrasion of breast, right breast, sequela"
NEFROLITIASUS,NEPHROLITHIASUS,,,,,
TRABAJO DE PARTO DCP,DCP LABOR,,,,O62.3,Precipitate labor
HIPERPLASIA DUCTAL ATIPICA,ATYPICAL DUCTAL HYPERPLASIA,,,,G50.1,Atypical facial pain
QUISTE EN CUERO CABELLUDO,SCALP CYST,,,,S00.01XS,"Abrasion of scalp, sequela"
LESION PULMONAR A ESTUDIO,LUNG INJURY UNDER STUDY,,,,,
POLIPO ENDIMETRIAL,ENDIMETRIAL POLYP,,,,K22.81,Esophageal polyp
CBC NODULAR RECURRENTE APEX NASAL,RECURRENT NODULAR BCC APEX NASAL,,,,,
LUXOFRACTURA DE TOBILLO DERECHO.,RIGHT ANKLE LUXOFRACTURE.,,,,M24.571,"Contracture, right ankle"
LESION EN ESTOMAGO EN SEGUIMIENTO,STOMACH INJURY IN FOLLOW-UP,,,,,
LESION LIGAMENTO ESCAFOSEMILUNAR MUÑECA IZQ,LEFT WRIST SQUAPHOLMUNATE LIGAMENT INJURY,,,,,
HERNIA INGUNAL BILATERAL,BILATERAL INGUNAL HERNIA,,,,K40.11,"Bilateral inguinal hernia, with gangrene, recurrent"
CA DE RECTO.,STRAIGHT CA.,,,,R97.1,Elevated cancer antigen 125 [CA 125]
GANGLIO CERVICAL,CERVICAL GANGLION,,,,M50.20,"Other cervical disc displacement, unspecified cervical region"
TUMOR PRESACRO,PRESACRAL TUMOR,,,,D48.112,"Desmoid tumor, intrathoracic"
SINOVITIS EXTENSORES DEDO Y RUPTURA DE EXTERNOSRES,FINGER EXTENSION SYNOVITIS AND RUPTURE OF EXTERNAL FINGERS,,,,,
EVENTRACION PERIUMBILICAL,PERIUMBILICAL EVENTRATION,,,,R10.33,Periumbilical pain
HEMORRAGIA VAGINAL,VAGINAL HEMORRHAGE,,,,P54.6,Neonatal vaginal hemorrhage
DOLOR HOMBRO IZQ,LEFT SHOULDER PAIN,,,,M25.512,Pain in left shoulder
LESION OVARIO,OVARIAN INJURY,,,,Q50.32,Ovarian streak
COJERA IZQ,LEFT LAME,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
LLA RESUELTA,RESOLVED,,,,H26.123,"Partially resolved traumatic cataract, bilateral"
TUMOR DE RECTO,RECTAL TUMOR,,,,K61.1,Rectal abscess
CICATRIZ QUILOIDE,CHYLOID SCAR,,,,L91.0,Hypertrophic scar
FRACTURA DE 5 METACARPIANO MANO DERECHA,FRACTURE OF 5 METACARPAL RIGHT HAND,,,,S62.201S,"Unspecified fracture of first metacarpal bone, right hand, sequela"
TIROTOXICOSIS,THYROTOXICOSIS,,,,E06.2,Chronic thyroiditis with transient thyrotoxicosis
COXARTROSIS CADERA DERECHA,RIGHT HIP COXARTHRITIS,,,,M70.71,"Other bursitis of hip, right hip"
DEFORMIDAD ADQUIRIDA NARIZ,ACQUIRED NOSE DEFORMITY,,,,M95.0,Acquired deformity of nose
DOLOR ABDOMIAL EN ESTUDIO,ABDOMIAL PAIN IN STUDY,,,,,
FISURA ANAL ANTERIOR,ANTERIOR ANAL FISSURE,,,,K60.0,Acute anal fissure
ONICOCRIPTOSIS,ONYCHOCRYPTOSIS,,,,,
LESION BANKART HOMBRO DER,BANKART RIGHT SHOULDER INJURY,,,,S40.911S,"Unspecified superficial injury of right shoulder, sequela"
EPICONDILITIS LATERLA DE CODO DER,LATERAL EPICONDILITIS OF THE RIGHT ELBOW,,,,,
GANGLION MANJO IZQ,LEFT HANDLE GANGLION,,,,S83.201S,"Bucket-handle tear of unspecified meniscus, current injury, left knee, sequela"
MASA EN MAMA IZQUIERDA,MASS IN LEFT BREAST,,,,N63.42,"Unspecified lump in left breast, subareolar"
LESION OSEA RETROMASTOIDEA DERECHA,RIGHT RETROMASTOID BONE INJURY,,,,,
FX DE PELVIS,PELVIS FX,,,,M87.850,"Other osteonecrosis, pelvis"
CA UROTELIAL DE ALTO GRADO,HIGH GRADE UROTHELIAL CA,,,,,
SECELAS TRAUMA RODILLA IZQUIERDA,LEFT KNEE TRAUMA SECELS,,,,,
ARTROSIS CADERA,HIP ARTHROSIS,,,,M70.70,"Other bursitis of hip, unspecified hip"
IANPETENCIA,IANPETENCE,,,,,
COLESTEATOMA OD,CHOLESTEATOMA OD,,,,H71.93,"Unspecified cholesteatoma, bilateral"
LESION ENDOMETRIAL,ENDOMETRIAL INJURY,,,,N85.00,"Endometrial hyperplasia, unspecified"
ADENOIDECTOMIA MAS  TURBINOPLASTIA,ADENOIDECTOMY PLUS TURBINOPLASTY,,,,,
COMPRESION DE RAICES CERVICALES + FRACTURA COLUMNA CERVICAL,COMPRESSION OF CERVICAL ROOTS + CERVICAL SPINE FRACTURE,,,,,
ENF DE PAGET,PAGET ENF,,,,Y35.001A,"Legal intervention involving unspecified firearm discharge, law enforcement official injured, initial encounter"
EXOSTOSIS SUB UNGEUAL HALLUZ IZQ,EXOSTOSIS SUB UNGEUAL HALLUZ LEFT,,,,,
QUISTE RETRORECTAL,RETRORECTAL CYST,,,,G96.191,Perineural cyst
"FIMOSIS , HERNIA INGUINAL DERECHA","PHIMOSIS, RIGHT INGUINAL HERNIA",,,,,
CISTITIS RECUERRENTE,RECOVERING CYSTITIS,,,,A06.81,Amebic cystitis
DEFORMIDAD EN LABIO  VAGINAL,VAGINAL LIP DEFORMITY,,,,N81.5,Vaginal enterocele
GLAUCOMA - CATARATAS,GLAUCOMA - CATARACTS,,,,H40.9,Unspecified glaucoma
OSTEOMIELITIS FEMUR IZQ,LEFT FEMUR OSTEOMYELITIS,,,,M86.252,"Subacute osteomyelitis, left femur"
HERNIA DIAFRAGMATICA,DIAPHRAGMATIC HERNIA,,,,Q79.0,Congenital diaphragmatic hernia
SECUELAS TRAUMA ANTEBRAZO IZQUIERDO,LEFT FOREARM TRAUMA AFTERMATH,,,,,
COLGAJO DE ORBITA,ORBIT FLAP,,,,H05.011,Cellulitis of right orbit
DIU,IUD,,,,,
EVENTRACIÓN,EVENTRATION,,,,,
MIOMAECTOMIA,MYOMAECTOMY,,,,,
FASCITIS PLANTAR BILATERAL,BILATERAL PLANTAR FASCITIS,,,,G57.63,"Lesion of plantar nerve, bilateral lower limbs"
FIBROMATOSIS RODILLA DERECHA,FIBROMATOSIS OF THE RIGHT KNEE,,,,,
MASA HEPATICA,LIVER MASS,,,,Z52.6,Liver donor
TUMOR EN CARA.,TUMOR IN FACE.,,,,D03.30,Melanoma in situ of unspecified part of face
EMBARAZO DE 36.5 SS. G1P0A0,PREGNANCY OF 36.5 SS. G1P0A0,,,,,
VASECTOMIZADO.,VASECTOMIZED.,,,,,
DOLOR ABDOMINAL.,ABDOMINAL PAIN.,,,,R10.84,Generalized abdominal pain
ESCOLIOSIS TORACOLUMBAR,THORACOLUMBAR SCOLIOSIS,,,,M41.35,"Thoracogenic scoliosis, thoracolumbar region"
LESION DE ARTICULACION ACROMIOCLAVICULAR .,ACROMIOCLAVICULAR JOINT INJURY.,,,,S43.111S,"Subluxation of right acromioclavicular joint, sequela"
CUERPO EXTRAÑO DORSO DE MANO,FOREIGN BODY BACK OF HAND,,,,S30.850S,"Superficial foreign body of lower back and pelvis, sequela"
CA DE MAMA BILATERAL,BILATERAL BREAST CA,,,,N61.23,"Granulomatous mastitis, bilateral breast"
LESION DE RODILLA DERECHA,RIGHT KNEE INJURY,,,,S87.01XS,"Crushing injury of right knee, sequela"
HUA/ENDOMETRIOSIS,HUA/ENDOMETRIOSIS,,,,N80.8,Other endometriosis
MASA EN MUÑECA Y 3ER DEDO MANO IZQDA,MASS IN WRIST AND 3RD FINGER OF LEFT HAND,,,,,
TENOSINOVITIS DE FLEXORES,FLEXOR TENOSYNOVITIS,,,,M66.30,"Spontaneous rupture of flexor tendons, unspecified site"
MASA REGION AURICULAR DERECHA,RIGHT ATRIAL REGION MASS,,,,,
QUISTE EN PLIEGUE VOAL DERECHO,RIGHT VOAL FOLD CYST,,,,,
TIBIA VARA DER,TIBIA VARA DER,,,,M87.861,"Other osteonecrosis, right tibia"
TENOSINOVITIS DE EXTENSORES GANGLION DORSL DE MUÑECA,WRIST DORSL GANGLION EXTENSOR TENOSYNOVITIS,,,,,
H INGUINAL IZQUIERDO,LEFT INGUINAL H,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
ADENOPATIAS EN CUELLO,NECK DENOPATHIES,,,,L02.12,Furuncle of neck
INSUFICIENCIA VENOSA SEUPERFICIAL MII,SEUPERFICIAL VENOUS INSUFFICIENCY MII,,,,,
FRACTURA DE RADIO DISTAL.,DISTAL RADIUS FRACTURE.,,,,M89.131,"Complete physeal arrest, right distal radius"
HERNIA INGUINAL IZQUIERDA SINTOMATICA,SYMPTOMATIC LEFT INGUINAL HERNIA,,,,,
HIPERTROFIA DE AMIGDALAS-ADENOIDES Y CORNETES.,HYPERTROPHY OF TONSILLA-ADENOIDS AND CORNETS.,,,,,
QUISTE TIROGLOSO.,THYROGLOSSAL CYST.,,,,G96.191,Perineural cyst
NEVUS NASAL,NASAL NEVUS,,,,R09.81,Nasal congestion
TUMOR ÓSEO IZQUERDA,LEFT BONE TUMOR,,,,M85.412,"Solitary bone cyst, left shoulder"
ARTROSIS TRAPECIO METACARPIANA,TRAPEZIUM METACARPAL ARTHROSIS,,,,S62.171S,"Displaced fracture of trapezium [larger multangular], right wrist, sequela"
"TENOSINOVITIS EN MANO DERECHA , TUMO EN 1 R DEDO MANO DER","TENOSYNOVITIS IN RIGHT HAND, TUMO IN 1 R FINGER OF RIGHT HAND",,,,,
PATOLOGIA CADERA DEREHCA,RIGHT HIP PATHOLOGY,,,,M70.71,"Other bursitis of hip, right hip"
HEMNORROIDES,HEMNORROIDS,,,,,
LABIO FISURADO IZQUEIRDO.,LEFT CLOSED LIP.,,,,S02.40BA,"Malar fracture, left side, initial encounter for closed fracture"
TUNEL CARPIANO MANO IZDA,LEFT HAND CARPAL TUNNEL,,,,M92.212,"Osteochondrosis (juvenile) of carpal lunate [Kienbock], left hand"
FERENILL LINGUAL CORTO,SHORT LINGUAL FERENILL,,,,E34.31,Constitutional short stature
HEMANGIOMA MUSLO IZDO,LEFT THIGH HEMANGIOMA,,,,M89.052,"Algoneurodystrophy, left thigh"
CRIPTORQUIDIA IZQUIERDA PALPABLE,PALPABLE LEFT CRYPTORCHIDIA,,,,R39.83,Unilateral non-palpable testicle
MASA QUISTICA ABDOMINOPELVICA ANEXIAL DER,RIGHT ANNEXIAL ABDOMINOPELVIC CYSTIC MASS,,,,,
HIDRONEFROSIS .,HYDRONEPHROSIS.,,,,N13.30,Unspecified hydronephrosis
MASA HOMBRO IZQUIERDO,LEFT SHOULDER MASS,,,,M75.82,"Other shoulder lesions, left shoulder"
DONANTE HEPATICO,LIVER DONOR,,,,Z52.6,Liver donor
POP FUNDUPLICATURA NISEEN,POP FUNDUPLICATURE NISEEN,,,,G57.30,"Lesion of lateral popliteal nerve, unspecified lower limb"
INCOMPETENCIA CERVICAL,CERVICAL INCOMPETENCE,,,,O34.30,"Maternal care for cervical incompetence, unspecified trimester"
FRACTURA DE RADIO Y CUBITO,FRACTURE OF RADIUS AND ULNA,,,,M96.631,"Fracture of radius or ulna following insertion of orthopedic implant, joint prosthesis, or bone plate, right arm"
FIBROSIS QUÍSTICA,CYSTIC FIBROSIS,,,,E84.9,"Cystic fibrosis, unspecified"
RETRASO PSICOMOTOR,PSYCHOMOTOR DELAY,,,,R41.843,Psychomotor deficit
GRANULOMA VIA AEREA,AIRWAY GRANULOMA,,,,J66.8,Airway disease due to other specific organic dusts
PÉRDIDA DE PESO .,WEIGHT LOSS.,,,,R63.4,Abnormal weight loss
EMBARAZO DE 34 SS.,PREGNANCY OF 34 SS.,,,,O09.10,"Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"
TROMBOSIS ART. OFTALMICA DERECHA,ART THROMBOSIS RIGHT OPHTHALMIC,,,,,
MELANOMA OD-POP RESECCION,MELANOMA OD-POP RESECTION,,,,,
FISURA Y FISTULA ANAL,ANAL FISSURE AND FISTULA,,,,N64.0,Fissure and fistula of nipple
SECUELAS FX MII,FX MII AFTERMATH,,,,,
TUNEL DE L CARPO,CARPAL TUNNEL,,,,G56.00,"Carpal tunnel syndrome, unspecified upper limb"
DISPLASIA Y LUXACION CONGENITA DE CADERA,CONGENITAL HIP DYSPLASIA AND DISLOCATION,,,,,
LAGOFTALMOS,LAGOPHTHALMOS,,,,H02.201,Unspecified lagophthalmos right upper eyelid
SX MANGUITO ROTADOR DER,SX ROTator Cuff,,,,S43.421S,"Sprain of right rotator cuff capsule, sequela"
LESION TUMORAL CUELLO DERECHO,RIGHT NECK TUMORAL LESION,,,,,
